#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
 159|19 40 28.10|+40 17 01.27|16.803| 0.003| 0.170| 0.014| 0.721| 0.005| -10.5| 4.2|  -2.7| 4.2| 58
 160|19 40 28.12|+40 09 47.71|19.037| 0.013| 0.637| 0.136| 1.056| 0.026|  -3.4| 5.3|  -6.2| 5.3| 93
 161|19 40 28.13|+40 12 03.86|17.976| 0.006| 0.378| 0.038| 0.825| 0.010|   5.7| 4.8|  -8.7| 4.8| 30
 162|19 40 28.15|+40 06 58.99|16.512| 0.002| 1.010| 0.023| 1.113| 0.004|  -3.1| 3.9|   3.9| 3.9| 46
 163|19 40 28.18|+40 01 57.31|20.059| 0.031|      |      | 1.176| 0.063|   1.7| 6.7|  -0.6| 6.7| 82
 164|19 40 28.20|+40 15 00.37|19.952| 0.027|      |      | 1.472| 0.072|      |    |      |    |
 165|19 40 28.20|+40 15 33.12|19.910| 0.026|      |      | 0.951| 0.052|  -0.7| 6.0|   4.6| 6.0| 64
 166|19 40 28.24|+40 19 34.26|19.199| 0.016|      |      | 1.440| 0.038| -19.3| 4.1| -17.7| 4.1|  0
 167|19 40 28.24|+40 15 57.50|20.087| 0.031|      |      | 1.180| 0.068|      |    |      |    |
 168|19 40 28.32|+40 02 25.85|17.390| 0.004| 0.273| 0.022| 0.757| 0.007|  -3.4| 4.7|  -0.4| 4.7| 92
 169|19 40 28.32|+40 04 17.67|19.045| 0.013| 0.178| 0.087| 0.904| 0.024|  -8.7| 5.3|   4.8| 5.3| 50
 170|19 40 28.32|+40 03 54.31|15.169| 0.003| 0.044| 0.006| 0.572| 0.004|  -8.7| 3.9|   4.7| 3.9| 28
 171|19 40 28.36|+40 14 13.88|19.760| 0.023|      |      | 0.690| 0.040|   2.4| 7.3|   0.4| 7.3| 80
 172|19 40 28.37|+40 09 26.10|18.721| 0.010| 0.149| 0.052| 0.627| 0.016|  -0.2| 5.3| -14.4| 5.3| 34
 173|19 40 28.40|+40 20 01.47|17.677| 0.005| 0.590| 0.037| 0.832| 0.009|  -3.0| 4.0|  -1.3| 4.0| 93
 174|19 40 28.40|+40 20 14.55|15.658| 0.004| 0.202| 0.009| 0.697| 0.005|      |    |      |    |
 175|19 40 28.41|+40 05 49.59|20.055| 0.029| 0.282| 0.139| 0.318| 0.043|  -0.2| 6.0|  -8.6| 6.0| 77
 176|19 40 28.41|+40 00 42.62|17.577| 0.004|-0.032| 0.018| 0.519| 0.007|  -1.9| 4.6|  -0.7| 4.6| 89
 177|19 40 28.42|+40 09 53.22|17.991| 0.006| 0.381| 0.039| 0.828| 0.011|  -1.7| 5.0|   1.5| 5.0| 78
 178|19 40 28.43|+40 18 05.74|16.540| 0.002| 0.447| 0.014| 0.834| 0.004|   2.3| 3.9|   3.1| 3.9| 31
 179|19 40 28.45|+40 15 28.75|18.694| 0.010| 0.396| 0.069| 0.770| 0.018|   4.3| 5.3| -13.3| 5.3| 26
 180|19 40 28.45|+40 13 59.80|20.722| 0.054|      |      | 1.379| 0.136|      |    |      |    |
 181|19 40 28.50|+40 01 03.47|20.158| 0.036|      |      | 1.389| 0.078|      |    |      |    |
 182|19 40 28.51|+40 05 13.35|15.600| 0.004|-0.102| 0.007| 0.461| 0.005| -10.1| 3.9|   4.1| 3.9| 26
 183|19 40 28.53|+40 06 29.25|18.937| 0.012| 0.371| 0.079| 0.746| 0.021|  -4.9| 5.3|  -4.6| 5.3| 98
 184|19 40 28.54|+40 10 06.59|19.338| 0.016|      |      | 1.046| 0.033|  18.6| 5.3| -17.0| 5.3|  0
 185|19 40 28.59|+40 12 52.30|17.278| 0.004| 0.119| 0.017| 0.657| 0.006|  -2.8| 4.1|  -7.2| 4.1| 80
 186|19 40 28.63|+40 14 34.57|20.535| 0.046|      |      | 1.623| 0.135|      |    |      |    |
 187|19 40 28.64|+40 16 55.99|17.853| 0.005| 0.508| 0.039| 0.816| 0.010|   0.4| 4.6|  -1.0| 4.6| 77
 188|19 40 28.66|+40 18 34.09|19.397| 0.018|-0.564| 0.150| 1.715| 0.052|   8.0| 4.0|  -5.0| 4.0| 13
 189|19 40 28.67|+40 11 28.85|19.515| 0.018| 0.159| 0.132| 0.945| 0.036|      |    |      |    |
 190|19 40 28.69|+40 01 26.31|19.235| 0.016| 0.176| 0.103| 0.873| 0.027|   2.3| 6.0|   0.9| 6.0| 70
 191|19 40 28.74|+40 19 42.34|15.918| 0.005| 0.261| 0.012| 0.746| 0.006|  -6.2| 3.9|   2.2| 3.9| 60
 192|19 40 28.79|+40 06 51.78|20.178| 0.032|      |      | 0.534| 0.051|      |    |      |    |
 193|19 40 28.82|+40 17 13.81|20.791| 0.061|      |      | 1.652| 0.180|      |    |      |    |
 194|19 40 28.82|+40 06 38.31|19.174| 0.014|      |      | 1.140| 0.030|  -4.2| 6.0|  -5.2| 6.0| 98
 195|19 40 28.84|+40 10 05.60|19.316| 0.016|      |      | 1.247| 0.036|  18.6| 5.3| -17.0| 5.3|  0
 196|19 40 28.86|+40 15 20.19|18.010| 0.006| 0.167| 0.032| 0.672| 0.010|   4.3| 4.5|   2.4| 4.5| 33
 197|19 40 28.86|+40 10 17.77|13.120| 0.001| 1.014| 0.004| 1.200| 0.002|   1.7| 3.9|   6.4| 3.9| 16
 198|19 40 28.89|+40 11 11.15|17.649| 0.005| 0.155| 0.023| 0.690| 0.008|  -4.2| 4.5|  -6.4| 4.5| 90
 199|19 40 28.91|+40 07 34.72|19.417| 0.017|-0.070| 0.087| 0.736| 0.030|  -1.3| 6.0|  -3.4| 6.0| 96
 200|19 40 28.96|+40 14 09.03|17.190| 0.004| 0.661| 0.028| 0.969| 0.007|  -7.1| 4.0|  -8.7| 4.0| 58
 201|19 40 29.02|+40 19 33.90|19.943| 0.029|      |      | 1.469| 0.074|      |    |      |    |
 202|19 40 29.02|+40 03 50.67|18.720| 0.010|-0.201| 0.042| 0.629| 0.017|   5.5| 5.3|  -4.7| 5.3| 48
 203|19 40 29.02|+40 10 43.31|19.912| 0.026|      |      | 1.649| 0.077|   0.1| 5.3|  -7.0| 5.3| 79
 204|19 40 29.03|+40 19 58.14|19.670| 0.023|      |      | 1.102| 0.047|      |    |      |    |
 205|19 40 29.03|+40 02 50.87|18.213| 0.007| 0.305| 0.043| 0.765| 0.012|  -2.8| 4.5|   2.2| 4.5| 71
 206|19 40 29.05|+40 04 58.76|19.883| 0.025|      |      | 0.980| 0.049|      |    |      |    |
 207|19 40 29.05|+40 08 08.20|19.627| 0.020|      |      | 0.832| 0.037|  -3.6| 6.7|   2.7| 6.7| 84
 208|19 40 29.08|+40 15 13.96|16.542| 0.002| 0.024| 0.010| 0.578| 0.004|  -2.3| 4.0|  -5.9| 4.0| 87
 209|19 40 29.15|+40 04 19.06|17.340| 0.004| 0.222| 0.021| 0.768| 0.007|  -3.6| 4.5|  -2.9| 4.5|100
 210|19 40 29.15|+40 16 40.16|20.548| 0.047|      |      | 1.329| 0.113|      |    |      |    |
 211|19 40 29.16|+40 06 32.10|19.922| 0.026|      |      | 1.365| 0.064|      |    |      |    |
 212|19 40 29.26|+40 06 56.71|17.796| 0.005| 0.171| 0.028| 0.785| 0.009|  -6.4| 4.5|  -5.0| 4.5| 91
 213|19 40 29.27|+40 03 55.71|17.666| 0.005| 0.867| 0.084| 1.656| 0.012| -53.0| 3.9| -37.7| 3.9|  0
 214|19 40 29.28|+40 05 35.51|18.504| 0.009| 0.494| 0.066| 0.863| 0.015|   6.5| 4.5|   1.5| 4.5| 23
 215|19 40 29.28|+40 05 28.94|20.843| 0.062|      |      | 1.071| 0.124|      |    |      |    |
 216|19 40 29.32|+40 18 28.39|18.638| 0.010| 0.377| 0.069| 0.777| 0.017|   3.6| 5.3|  -1.4| 5.3| 62
 217|19 40 29.33|+40 08 27.82|19.928| 0.026|      |      | 0.935| 0.051|  -2.2| 6.7|  -5.4| 6.7| 96
 218|19 40 29.35|+40 02 32.94|19.855| 0.026|      |      | 0.760| 0.043|   0.6| 6.0|  -3.9| 6.0| 88
 219|19 40 29.35|+40 18 45.64|18.952| 0.012| 0.721| 0.128| 0.866| 0.023|  -1.3| 5.3|  -2.4| 5.3| 94
 220|19 40 29.38|+40 03 26.31|16.078| 0.002| 0.133| 0.008| 0.699| 0.003|  -3.4| 3.9|  -8.5| 3.9| 67
 221|19 40 29.38|+40 09 32.68|17.510| 0.004| 0.474| 0.032| 0.983| 0.008|  -3.1| 4.2|  -1.1| 4.2| 93
 222|19 40 29.44|+40 09 21.23|17.128| 0.003| 0.248| 0.018| 0.749| 0.006|  -4.1| 4.3|   5.4| 4.3| 40
 223|19 40 29.44|+40 03 46.75|19.067| 0.014|      |      | 1.125| 0.027| -14.9| 4.7| -22.6| 4.7|  1
 224|19 40 29.54|+40 15 04.14|16.898| 0.003| 0.272| 0.015| 0.735| 0.005|  -5.4| 4.2|  -2.3| 4.2| 96
 225|19 40 29.54|+40 06 14.81|20.486| 0.042|      |      | 1.052| 0.086|      |    |      |    |
 226|19 40 29.54|+40 15 43.37|20.274| 0.036|      |      | 1.182| 0.080|      |    |      |    |
 227|19 40 29.55|+40 08 35.59|18.201| 0.007| 0.111| 0.031| 0.551| 0.011|  -4.1| 4.9|  -3.2| 4.9|100
 228|19 40 29.55|+40 18 14.76|17.754| 0.005| 0.106| 0.024| 0.614| 0.009|  -6.1| 5.0|  -7.4| 5.0| 83
 229|19 40 29.59|+40 01 32.45|18.598| 0.009| 0.051| 0.046| 0.659| 0.015|  -4.1| 5.3|  -0.9| 5.3| 96
 230|19 40 29.60|+40 14 54.60|18.221| 0.007| 0.166| 0.041| 0.831| 0.013|  -4.9| 5.3|  -3.9| 5.3| 99
 231|19 40 29.61|+40 15 31.57|18.589| 0.009|      |      | 1.311| 0.021|   1.9| 4.4|   1.4| 4.4| 52
 232|19 40 29.65|+40 09 04.28|20.407| 0.040|      |      | 1.359| 0.098|      |    |      |    |
 233|19 40 29.66|+40 03 03.14|16.959| 0.003| 0.214| 0.015| 0.700| 0.005|  -5.7| 4.4|  -1.2| 4.4| 92
 234|19 40 29.68|+40 10 03.08|20.639| 0.048|      |      | 1.281| 0.114|      |    |      |    |
 235|19 40 29.72|+40 11 27.74|20.037| 0.029|      |      | 1.785| 0.093|      |    |      |    |
 236|19 40 29.80|+40 03 49.46|19.506| 0.019| 0.578| 0.137| 0.591| 0.030|  -6.7| 5.3|  -1.1| 5.3| 91
 237|19 40 29.81|+40 18 35.85|20.102| 0.032|      |      | 0.756| 0.056| 313.6| 7.3|  38.4| 7.3|  0
 238|19 40 29.81|+40 07 15.23|17.198| 0.004| 0.485| 0.022| 0.806| 0.006|  -2.9| 4.2|  -4.2| 4.2| 97
 239|19 40 29.86|+40 19 13.32|17.375| 0.004| 0.457| 0.027| 0.836| 0.007|  -0.3| 4.9|   0.1| 4.9| 79
 240|19 40 29.91|+40 04 22.92|19.742| 0.023|      |      | 0.391| 0.034|      |    |      |    |
 241|19 40 29.92|+40 13 47.08|19.303| 0.015| 0.137| 0.079| 0.555| 0.026|  -0.8| 6.0|   1.7| 6.0| 80
 242|19 40 29.93|+40 19 05.27|19.533| 0.020|      |      | 1.310| 0.046|  -4.1| 6.7|   0.8| 6.7| 92
 243|19 40 29.95|+40 14 39.06|16.786| 0.003| 0.076| 0.012| 0.617| 0.005|  -6.1| 4.1|  -1.2| 4.1| 89
 244|19 40 29.99|+40 08 39.67|20.232| 0.033|      |      | 0.985| 0.067|      |    |      |    |
 245|19 40 30.00|+40 14 17.58|17.817| 0.005| 0.066| 0.025| 0.661| 0.009|  -4.1| 4.9|  -2.6| 4.9|100
 246|19 40 30.01|+40 05 03.08|19.127| 0.014|-0.058| 0.066| 0.693| 0.023|  -6.8| 5.3|  -1.1| 5.3| 90
 247|19 40 30.04|+40 00 56.43|17.765| 0.005| 0.152| 0.026| 0.686| 0.009|  -4.7| 4.5|   1.6| 4.5| 76
 248|19 40 30.05|+40 10 25.78|16.593| 0.002| 0.252| 0.012| 0.747| 0.004|  -0.4| 4.0|  -0.8| 4.0| 77
 249|19 40 30.10|+40 14 59.60|19.713| 0.022|      |      | 1.240| 0.051|      |    |      |    |
 250|19 40 30.20|+40 20 33.30|14.934| 0.003|-0.006| 0.005| 0.531| 0.004|   1.6| 3.9| -12.7| 3.9| 17
 251|19 40 30.21|+40 09 50.15|17.438| 0.004| 0.090| 0.019| 0.692| 0.007|  -5.8| 4.7|  -2.4| 4.7| 96
 252|19 40 30.24|+40 01 22.34|17.980| 0.006| 0.063| 0.030| 0.712| 0.010| -16.6| 5.1|  -3.5| 4.6| 26
 253|19 40 30.30|+40 06 22.75|16.826| 0.003| 0.500| 0.018| 0.834| 0.005|  -2.9| 4.0|   0.6| 4.0| 80
 254|19 40 30.31|+40 13 42.64|18.591| 0.009| 0.133| 0.054| 0.817| 0.016| -11.4| 4.8| -13.8| 4.8| 20
 255|19 40 30.32|+40 03 35.86|16.592| 0.002| 0.146| 0.011| 0.701| 0.004|  -3.8| 4.0|  -1.7| 4.0| 96
 256|19 40 30.32|+40 07 55.39|20.083| 0.030|      |      | 1.842| 0.098|  -2.1| 6.7|   1.4| 6.7| 88
 257|19 40 30.34|+40 07 02.76|17.968| 0.006| 0.127| 0.029| 0.669| 0.010| -16.4| 4.9|  19.6| 4.9|  0
 258|19 40 30.34|+40 01 11.28|18.278| 0.007|-0.014| 0.034| 0.658| 0.012|  -5.3| 4.6|  -9.9| 4.6| 62
 259|19 40 30.40|+40 05 03.65|18.066| 0.006| 0.099| 0.030| 0.653| 0.010|  -5.7| 5.1|  -0.1| 5.1| 89
 260|19 40 30.42|+40 05 29.78|17.661| 0.005| 0.557| 0.035| 0.886| 0.009|  -0.3| 4.2|   3.3| 4.2| 49
 261|19 40 30.42|+40 14 56.90|20.171| 0.033|      |      | 0.811| 0.060|  39.5| 7.3|   8.1| 7.3|  0
 262|19 40 30.42|+40 11 48.43|18.347| 0.007| 0.587| 0.068| 0.983| 0.015|  -1.8| 4.9|  -1.2| 4.9| 92
 263|19 40 30.43|+40 04 52.78|18.688| 0.010| 0.080| 0.050| 0.700| 0.016|  -3.2| 4.8|  -1.2| 4.8| 95
 264|19 40 30.46|+40 06 31.23|20.667| 0.050|      |      | 1.284| 0.118| -46.6| 7.3|  20.7| 7.3|  0
 265|19 40 30.47|+40 04 17.01|14.671| 0.002| 0.101| 0.005| 0.614| 0.003|  -5.4| 3.9|  29.6| 3.9|  0
 266|19 40 30.50|+40 10 40.88|20.404| 0.039|      |      | 1.348| 0.097|      |    |      |    |
 267|19 40 30.53|+40 05 14.54|18.732| 0.010|      |      | 0.983| 0.019|  -4.4| 4.7|  -5.6| 4.7| 95
 268|19 40 30.54|+40 18 28.45|20.010| 0.031|      |      | 1.333| 0.072|  -9.8| 6.1|  -6.3| 6.1| 78
 269|19 40 30.55|+40 07 38.47|16.843| 0.003| 0.645| 0.021| 0.916| 0.005|  -7.7| 4.0|  -1.0| 4.0| 77
 270|19 40 30.56|+40 08 01.02|19.686| 0.021|      |      | 0.475| 0.033|  -1.1| 7.3|  -1.6| 7.3| 95
 271|19 40 30.56|+40 12 20.79|16.916| 0.003| 0.293| 0.016| 0.774| 0.005|  -2.5| 4.0|   1.0| 4.0| 75
 272|19 40 30.57|+40 21 09.28|17.511| 0.004| 0.357| 0.028| 0.806| 0.008|  -5.7| 4.6|  -7.2| 4.6| 83
 273|19 40 30.57|+40 16 23.94|19.702| 0.023|      |      | 1.517| 0.061|   1.1| 5.8|  -3.3| 5.8| 84
 274|19 40 30.61|+40 20 01.57|17.760| 0.005| 0.250| 0.029| 0.711| 0.009|   0.9| 4.6|   0.2| 4.6| 68
 275|19 40 30.62|+40 13 47.74|17.625| 0.004| 0.187| 0.023| 0.639| 0.008|   1.5| 4.9|   3.2| 4.9| 51
 276|19 40 30.64|+40 16 14.53|19.378| 0.017| 0.208| 0.090| 0.537| 0.027|  -0.1| 7.0|  -1.0| 7.0| 91
 277|19 40 30.65|+40 16 56.56|20.181| 0.033|      |      | 0.031| 0.045|      |    |      |    |
 278|19 40 30.66|+40 14 03.93|15.856| 0.005| 0.499| 0.014| 0.948| 0.007| -14.7| 3.9|   9.1| 3.9|  2
 279|19 40 30.66|+40 02 34.84|15.944| 0.005| 0.367| 0.013| 0.786| 0.006| -25.5| 3.9|  -5.1| 3.9|  0
 280|19 40 30.70|+40 18 40.74|17.961| 0.006| 0.370| 0.040| 0.845| 0.011|  -8.3| 4.6|   9.6| 4.6| 14
 281|19 40 30.70|+40 14 39.98|18.856| 0.011|-0.021| 0.052| 0.620| 0.019|   2.6| 5.3|   3.7| 5.3| 48
 282|19 40 30.71|+40 06 58.35|17.601| 0.004| 0.244| 0.025| 0.739| 0.008|   6.9| 4.4| -10.4| 4.4| 14
 283|19 40 30.71|+40 15 29.86|18.990| 0.013|      |      | 1.268| 0.028|   2.7| 5.8|  -3.2| 5.8| 74
 284|19 40 30.71|+40 15 53.26|17.232| 0.004| 0.723| 0.032| 1.019| 0.007|  -0.9| 4.0|  -3.4| 4.0| 87
 285|19 40 30.74|+40 06 00.99|18.459| 0.008| 0.496| 0.060| 0.790| 0.014|   0.0| 5.3|  -4.1| 5.3| 88
 286|19 40 30.74|+40 20 59.93|18.114| 0.007| 0.093| 0.035| 0.696| 0.011|   0.7| 5.3|   1.1| 5.3| 72
 287|19 40 30.75|+40 13 12.26|20.313| 0.037|      |      | 1.381| 0.093|      |    |      |    |
 288|19 40 30.78|+40 01 42.06|19.763| 0.024|      |      | 1.240| 0.051|  14.6| 7.3|  34.7| 7.3|  0
 289|19 40 30.80|+40 18 58.19|19.230| 0.015| 0.101| 0.088| 0.701| 0.026|  -2.8| 6.0|  -4.4| 6.0| 98
 290|19 40 30.83|+40 18 34.15|16.499| 0.002| 0.166| 0.011| 0.650| 0.004|  -0.3| 4.0|  -8.7| 4.0| 55
 291|19 40 30.87|+40 05 35.61|18.796| 0.010|-0.132| 0.041| 0.497| 0.017|  -1.2| 5.3|  -1.7| 5.3| 92
 292|19 40 30.87|+40 12 11.00|18.400| 0.008| 0.434| 0.064| 0.999| 0.015|  -3.0| 4.5|   3.4| 4.5| 60
 293|19 40 30.88|+40 01 22.30|15.794| 0.005| 0.572| 0.014| 0.886| 0.006|  12.2| 3.9|   3.9| 3.9|  1
 294|19 40 30.90|+40 09 06.82|19.358| 0.016| 0.205| 0.096| 0.713| 0.028|  -0.9| 5.3|  -4.2| 5.3| 92
 295|19 40 30.92|+40 03 33.83|19.591| 0.021|      |      | 1.274| 0.045|  -1.0| 6.7|   1.1| 6.7| 87
 296|19 40 30.94|+40 05 22.16|15.397| 0.004| 0.113| 0.007| 0.645| 0.005|  -3.5| 3.9|  -2.7| 3.9| 99
 297|19 40 30.97|+40 10 14.25|19.847| 0.024|      |      | 0.879| 0.046|      |    |      |    |
 298|19 40 30.99|+40 13 59.49|18.679| 0.010| 0.227| 0.063| 0.859| 0.018|   5.9| 5.3| -12.5| 5.3| 24
 299|19 40 30.99|+40 12 03.91|16.593| 0.002| 0.151| 0.011| 0.683| 0.004|  -3.9| 4.0|  -5.1| 4.0| 96
 300|19 40 31.00|+40 06 09.38|20.217| 0.033|      |      | 0.740| 0.058|      |    |      |    |
 301|19 40 31.00|+40 03 14.09|20.110| 0.032|      |      | 0.925| 0.058|      |    |      |    |
 302|19 40 31.03|+40 19 35.67|16.397| 0.002| 0.186| 0.010| 0.703| 0.004|  -1.6| 4.0|  -1.4| 4.0| 88
 303|19 40 31.03|+40 06 26.43|15.132| 0.003| 0.034| 0.006| 0.556| 0.004|   9.6| 3.9|  -7.4| 3.9|  5
 304|19 40 31.04|+40 06 43.04|20.524| 0.045|      |      | 0.758| 0.100| -25.9| 7.8|   4.6| 7.8| 14
 305|19 40 31.04|+40 03 50.58|19.037| 0.013|-0.602| 0.068| 0.779| 0.022| -23.4| 6.7|   4.7| 6.7| 11
 306|19 40 31.10|+40 15 17.92|18.149| 0.007| 0.305| 0.040| 0.745| 0.012|  -5.7| 4.9|   3.5| 4.9| 63
 307|19 40 31.15|+40 03 25.50|20.297| 0.038|      |      | 1.698| 0.107|  -7.1| 5.8|  -2.2| 5.8| 93
 308|19 40 31.17|+40 10 36.15|20.308| 0.036|      |      | 1.303| 0.086|      |    |      |    |
 309|19 40 31.19|+40 04 44.07|20.594| 0.047|      |      | 1.089| 0.097|      |    |      |    |
 310|19 40 31.22|+40 18 18.99|19.265| 0.016| 0.312| 0.109| 0.751| 0.027|  12.6| 5.3|   0.9| 5.3| 10
 311|19 40 31.23|+40 18 48.06|18.852| 0.011|-0.793| 0.034| 0.600| 0.019|  -2.8| 5.3|  -1.9| 5.3| 97
 312|19 40 31.27|+40 09 40.28|15.724| 0.004| 0.043| 0.008| 0.560| 0.005|   7.4| 3.9|  -8.7| 3.9| 10
 313|19 40 31.29|+40 13 24.47|18.750| 0.010| 0.141| 0.059| 0.755| 0.018|  -3.4| 5.3|  -4.1| 5.3| 99
 314|19 40 31.29|+40 16 41.11|16.148| 0.002| 0.113| 0.008| 0.619| 0.003|  -2.3| 4.0|  -2.2| 4.0| 94
 315|19 40 31.31|+40 06 09.50|19.806| 0.024|-1.628| 0.376| 0.895| 0.044|      |    |      |    |
 316|19 40 31.35|+40 17 30.06|19.457| 0.019|      |      | 1.506| 0.049|  -4.1| 5.4|  -1.8| 5.4| 98
 317|19 40 31.36|+40 11 34.92|18.469| 0.008| 0.398| 0.058| 0.862| 0.015|   2.2| 5.3|  -0.5| 5.3| 69
 318|19 40 31.37|+40 05 37.66|20.126| 0.031|      |      | 1.095| 0.064|  -9.2| 8.8|  -5.4| 8.8| 91
 319|19 40 31.39|+40 08 23.19|19.188| 0.014|      |      | 1.095| 0.029| -22.4| 7.1|  36.5| 7.1|  0
 320|19 40 31.42|+40 05 54.83|18.073| 0.006| 0.371| 0.039| 0.752| 0.011|  -9.5| 4.7|  -8.0| 4.7| 58
 321|19 40 31.42|+40 01 16.89|17.746| 0.005| 0.597| 0.039| 0.882| 0.009|   5.3| 4.6|   1.1| 4.6| 33
 322|19 40 31.43|+40 18 04.83|17.227| 0.004| 0.123| 0.018| 0.706| 0.006|   0.7| 4.2|   0.6| 4.2| 63
 323|19 40 31.47|+40 12 42.40|19.455| 0.017| 0.054| 0.102| 0.782| 0.032| -15.5| 7.3|  -9.3| 7.3| 50
 324|19 40 31.47|+40 03 03.42|19.894| 0.027|      |      | 1.361| 0.061|   2.4| 8.8|   3.2| 8.8| 79
 325|19 40 31.48|+40 15 27.95|18.366| 0.008| 0.754| 0.080| 0.983| 0.015|   0.6| 4.5|  -0.4| 4.5| 72
 326|19 40 31.48|+40 20 21.89|17.479| 0.004| 0.327| 0.026| 0.801| 0.008|  -1.7| 4.8|  -1.4| 4.8| 92
 327|19 40 31.48|+40 19 42.50|18.963| 0.013|      |      | 1.314| 0.029|  -5.5| 5.9|   0.9| 5.9| 88
 328|19 40 31.50|+40 03 39.87|20.330| 0.038|      |      | 1.020| 0.074|      |    |      |    |
 329|19 40 31.50|+40 15 43.17|17.827| 0.005| 0.520| 0.040| 0.893| 0.010|   2.2| 4.6|   2.7| 4.6| 46
 330|19 40 31.50|+40 08 18.14|18.779| 0.010| 0.597| 0.079| 0.737| 0.018|  -8.7| 4.6|   0.6| 4.6| 68
 331|19 40 31.52|+40 12 59.92|19.041| 0.013| 0.730| 0.134| 0.949| 0.025|  -2.3| 5.3|   0.0| 5.3| 90
 332|19 40 31.52|+40 06 52.76|16.393| 0.002| 0.055| 0.009| 0.573| 0.004|  -3.7| 4.0|  -3.7| 4.0|100
 333|19 40 31.52|+40 11 09.12|18.250| 0.007|-0.135| 0.028| 0.522| 0.011|   3.0| 5.3|  -7.8| 5.3| 58
 334|19 40 31.53|+40 17 53.18|18.465| 0.008| 0.178| 0.047| 0.691| 0.014|  -1.9| 5.3|  -0.9| 5.3| 92
 335|19 40 31.54|+40 05 59.92|19.497| 0.018|-0.152| 0.096| 0.854| 0.034|  -2.6| 8.8|  -4.5| 8.8| 99
 336|19 40 31.54|+40 06 42.35|17.658| 0.005| 0.242| 0.025| 0.703| 0.008|   3.6| 4.6|  -1.5| 4.6| 52
 337|19 40 31.56|+40 20 07.24|19.915| 0.028|      |      | 0.993| 0.054|      |    |      |    |
 338|19 40 31.58|+40 11 53.77|19.461| 0.017| 0.264| 0.103| 0.614| 0.029|      |    |      |    |
 339|19 40 31.60|+40 17 09.48|18.751| 0.010| 0.111| 0.053| 0.613| 0.017|  -1.3| 5.3|  -0.1| 5.3| 87
 340|19 40 31.60|+40 20 34.81|18.573| 0.009| 0.697| 0.092| 0.911| 0.017|  -5.3| 4.6|  -6.7| 4.6| 87
 341|19 40 31.63|+40 11 42.74|18.156| 0.007| 1.189| 0.118| 1.326| 0.015|  -3.0| 4.0|  -1.0| 4.0| 92
 342|19 40 31.63|+40 19 10.25|16.736| 0.003| 0.146| 0.012| 0.653| 0.004|  -1.2| 4.2|  -5.8| 4.2| 84
