#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:31:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defdd45bd11	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/148/38/table2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table2}&key:source=J/AJ/148/38/table2&HTTPPRM:&&-ref=VIZ5defdd45bd11&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=WOCS&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=V-I&-out=NW&-out=NC&-out=<RV>&-out=e_<RV>&-out=e/i&-out=PRV&-out=PPM&-out=Mm&-out=RV&-out=e_RV&-out=SB&-out=O&-out=XXIV&-out=VC&-ignore=VC=*&VC=VC&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/148/38/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/38/table2
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=V-I
#-out=NW
#-out=NC
#-out=<RV>
#-out=e_<RV>
#-out=e/i
#-out=PRV
#-out=PPM
#-out=Mm
#-out=RV
#-out=e_RV
#-out=SB
#-out=O
#-out=XXIV
#-out=VC
#-out=Simbad
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table2:
#Name: J/AJ/148/38/table2
#Title: Radial velocity summary table
#Column	WOCS	(I6)	[1001/260043] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? The V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-I	(F5.2)	? The (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	NW	(I2)	[0/62] Number of WIYN 3.5m observations	[ucd=meta.number;obs]
#Column	NC	(I2)	[0/32] Number of CfA observations	[ucd=meta.number;obs]
#Column	<RV>	(F7.2)	[-241.841/69.628] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F5.2)	Standard error in <RV>	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	e/i	(F6.2)	External error divided by internal error	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	PRV	(I2)	[0/94]? Radial velocity membership probability [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM	(I2)	[0/99]? Proper-motion membership probability [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	Mm	(A3)	Membership class (1)	[ucd=meta.code.class]
#Column	RV	(F7.2)	? Center-of-mass radial velocity ({gamma}_RV_)	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	? Error in gamma	[ucd=stat.error;phys.veloc]
#Column	SB	(A3)	Single, double- or triple-lined binary (SB1, SB2 or SB3)	[ucd=meta.note]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	XXIV	(I3)	Display the data from Paper XXIV (Hole et al. 2009, J/AJ/138/159) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curves	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|RAJ2000|DEJ2000|Vmag|V-I|NW|NC|<RV>|e_<RV>|e/i|PRV|PPM|Mm|RV|e_RV|SB|O|XXIV|VC|Simbad
  6004|19 41 12.42|+40 13 01.8|14.37| 0.78|10|16|   4.19| 2.41| 20.00|90|98|BM |   1.36| 0.20|SB1|O|  1|VC|Simbad
  6005|19 41 08.27|+40 10 38.1|13.73| 1.40| 1| 2| -52.98| 0.55|  1.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6006|19 41 25.82|+40 13 51.4|13.84| 1.20|34| 1|   0.00| 0.37|  5.19|76|89|BM |   0.64| 0.12|SB1|O|  1|VC|Simbad
  6007|19 41 00.83|+40 11 16.0|13.74| 0.65| 2| 4| -20.68| 0.57|  2.07| 0|96|SN |       |     |   | |  1|VC|Simbad
  6008|19 41 23.41|+40 15 16.7|14.50| 0.53| 3| 1|   8.35| 0.33|  1.15| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6009|19 41 34.44|+40 08 46.1|13.15| 1.23| 3| 2|   1.28| 0.28|  1.02|89|98|SM |       |     |   | |  1|VC|Simbad
  6010|19 41 40.91|+40 11 12.2|13.49| 1.48| 0| 4| -51.87| 0.11|  0.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6011|19 41 13.18|+40 06 41.8|13.44| 1.21| 1| 3|  11.14| 0.16|  0.44| 0|99|SN |       |     |   | |  1|VC|Simbad
  6012|19 40 59.45|+40 07 05.7|13.64| 0.75| 0| 3| -26.53| 0.16|  0.33| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6013|19 40 46.00|+40 11 20.9|13.09| 0.71| 0| 4| -21.87| 0.48|  1.19| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6014|19 41 47.88|+40 14 44.1|13.82| 0.74| 3| 0| -21.53| 0.11|  0.40| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6015|19 41 04.58|+40 04 50.9|13.55| 1.32| 1| 2|  11.10| 0.29|  0.66| 0|12|SN |       |     |   | |  1|VC|Simbad
  6016|19 40 53.60|+40 18 05.0|13.59| 0.75| 1| 4| -19.38| 0.22|  0.67| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6017|19 41 55.67|+40 15 52.6|13.37| 1.26| 3| 0|  16.12| 0.08|  0.28| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6018|19 41 34.23|+40 19 45.0|13.50| 1.30| 6| 2|   7.61| 0.11|  0.58| 0|36|SN |       |     |   | |  1|VC|Simbad
  6019|19 42 04.48|+40 10 36.3|13.47| 1.27| 5| 0|  -8.44| 0.07|  0.33| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6020|19 40 54.47|+40 02 56.2|13.45| 0.78| 0| 5| -45.60| 0.63|  1.80| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6021|19 41 48.63|+40 03 27.2|13.33| 1.28| 4| 0|  -0.70| 0.27|  1.17|11| 0|SN |       |     |   | |  1|VC|Simbad
  6022|19 42 13.45|+40 13 59.2|13.87| 0.69| 4| 0|  -7.85| 0.65|  2.82| 0|10|SN |       |     |   | |  1|VC|Simbad
  6023|19 41 26.14|+40 00 45.7|12.89| 1.39| 4| 0|   6.78| 0.04|  0.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
  6024|19 41 37.14|+40 00 42.9|12.79| 0.50|36| 0|  12.40| 3.38| 49.96| 0|27|BU |       |     |   | |  1|VC|Simbad
  6030|19 42 08.14|+40 22 52.5|13.09| 1.30| 3| 0|   2.50| 0.18|  0.65|94| 4|SM |       |     |   | |  1|VC|Simbad
  6031|19 42 37.08|+40 12 27.6|13.19| 0.56|11| 0|  -7.83| 2.12| 16.78| 0| 4|BLN|       |     |   | |  0|VC|Simbad
  6032|19 40 34.44|+40 25 06.8|13.20| 1.24| 3| 0| -23.74| 0.27|  0.95| 0| 0|SN |       |     |   | |  0|VC|Simbad
  6035|19 42 32.62|+40 02 06.2|12.84| 0.78| 3| 0| -47.36| 0.11|  0.38| 0| 0|SN |       |     |   | |  0|VC|Simbad
  6038|19 42 41.09|+40 22 03.2|13.06| 0.64| 3| 0|  36.57|47.09|166.48| 0| 0|BLN|       |     |   | |  0|VC|Simbad
  6040|19 41 32.10|+39 51 59.3|13.23| 0.63| 4| 0|   0.21| 0.35|  1.52|57| 0|SN |       |     |   | |  0|VC|Simbad
  6043|19 39 36.30|+40 02 57.6|12.51| 0.79| 9| 0| -22.31| 0.62|  4.37| 0|  |BLN|       |     |   | |  0|VC|Simbad
  6045|19 41 29.04|+40 33 47.5|12.41| 0.60| 7| 0|  -9.82| 0.47|  2.88| 0|  |SN |       |     |   | |  0|VC|Simbad
  6046|19 43 12.41|+40 06 36.2|12.95| 0.83| 3| 0| -13.00| 0.26|  0.91| 0| 0|SN |       |     |   | |  0|VC|Simbad
  6054|19 42 55.67|+39 52 32.4|12.63| 0.73| 4| 0| -12.46| 0.28|  1.22| 0| 0|SN |       |     |   | |  0|VC|Simbad
  6056|19 39 11.01|+39 58 15.4|12.50| 1.40| 2| 0| -17.97|11.16| 27.89|  |  |   |       |     |   | |  0|VC|Simbad
  7001|19 41 17.27|+40 11 27.3|15.20| 0.80| 3| 0|   2.24| 0.28|  1.00|94|99|SM |       |     |   | |  0|VC|Simbad
  7002|19 41 17.46|+40 11 03.6|12.99| 0.52|11| 2|   2.55| 0.29|  2.15|94|98|SM |       |     |   | |  1|VC|Simbad
  7003|19 41 21.36|+40 11 00.3|13.12| 1.33| 4| 3|   1.97| 0.09|  0.42|93|95|SM |       |     |   | |  1|VC|Simbad
  7004|19 41 14.30|+40 10 12.0|14.47| 0.77|19| 2|   2.08| 0.97|  9.96|94| 0|BN |   2.04| 0.36|SB1| |  1|VC|Simbad
  7005|19 41 06.22|+40 10 53.3|14.08| 1.20| 3| 0|   3.08| 0.13|  0.47|93| 0|SN |       |     |   | |  1|VC|Simbad
  7006|19 41 03.29|+40 10 52.8|14.05| 0.38|24| 1| -14.94| 6.32| 74.42| 0|20|BU |       |     |   | |  1|VC|Simbad
  7007|19 41 04.22|+40 09 56.1|13.98| 1.25| 1| 2| -15.03| 0.13|  0.29| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7008|19 41 21.73|+40 08 04.4|14.57| 0.85| 5| 0|   2.66| 0.53|  2.66|94|90|SM |       |     |   | |  1|VC|Simbad
  7009|19 40 57.04|+40 10 06.8|13.31| 1.31|18|20|   2.28| 1.86| 19.57|58|99|BM |   0.22| 0.11|SB1|O|  1|VC|Simbad
  7010|19 40 55.98|+40 09 06.1|13.85| 0.98|12| 3| -21.78| 2.61| 20.57| 0| 0|BN | -18.00| 0.74|SB1| |  1|VC|Simbad
  7011|19 41 10.41|+40 06 53.4|14.16| 1.05| 3| 2|   8.00| 0.30|  1.09| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7012|19 41 16.33|+40 06 16.9|13.83| 0.64| 4| 2|  -3.03| 0.29|  1.26| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7013|19 40 44.58|+40 12 33.7|13.13| 0.61| 6|12|   0.95| 0.15|  1.03|84| 0|SN |       |     |   | |  1|VC|Simbad
  7014|19 41 47.01|+40 07 48.0|13.69| 2.30| 3| 0| -51.89| 1.03|  3.65| 0|98|SN |       |     |   | |  1|VC|Simbad
  7015|19 40 39.75|+40 12 35.8|13.62| 0.74|12| 2| -17.30| 0.36|  2.84| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7016|19 40 39.71|+40 13 52.3|14.06| 1.34| 1| 2| -43.50| 0.51|  1.16| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7017|19 41 13.67|+40 03 38.2|13.59| 1.28| 1| 3|   2.38| 0.15|  0.41|94| 0|SN |       |     |   | |  1|VC|Simbad
  7018|19 40 34.56|+40 09 15.3|13.93| 0.65| 3| 2|  13.67| 0.24|  0.87| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7019|19 41 43.84|+40 03 44.4|13.60| 0.77|23| 1| -19.74| 0.36|  4.09| 0|94|BN | -20.20| 0.34|SB1| |  1|VC|Simbad
  7020|19 42 07.52|+40 10 49.1|13.44| 0.63| 3| 0| -15.09| 0.27|  0.94| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7021|19 40 35.69|+40 05 03.8|13.79| 1.35| 1| 2|   2.59| 0.29|  0.67|94|31|SM |       |     |   | |  1|VC|Simbad
  7022|19 42 13.07|+40 10 09.9|13.91| 1.01| 3| 0|  15.05| 0.13|  0.44| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7024|19 41 19.03|+39 59 47.6|12.97| 0.87|10| 0|  -8.04| 0.11|  0.84| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7026|19 40 13.41|+40 09 02.1|13.00| 1.08| 3| 0| -19.64| 0.14|  0.50| 0| 0|SN |       |     |   | |  0|VC|Simbad
  7027|19 40 44.92|+40 23 22.6|13.97| 0.84|13| 0| -19.50| 0.46|  4.00| 0| 0|SN |       |     |   | |  0|VC|Simbad
  7028|19 42 19.41|+40 04 42.9|12.88| 0.41| 5| 0|   4.71| 7.73| 38.66|59| 0|BLN|       |     |   | |  0|VC|Simbad
  7031|19 40 18.88|+40 22 15.3|13.59| 1.18| 4| 0| -10.74| 0.04|  0.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
  7033|19 39 55.18|+40 15 15.8|13.37| 0.61| 3| 0|   8.43| 0.49|  1.73| 0| 0|SN |       |     |   | |  0|VC|Simbad
  7035|19 40 44.79|+39 55 55.9|13.07| 0.74|14| 0|  -6.00| 1.93| 17.37| 0|  |BN |  -3.92| 0.14|SB1| |  0|VC|Simbad
  7038|19 39 53.05|+40 21 03.5|13.51| 0.71| 4| 0| -27.56| 0.22|  0.96| 0| 0|SN |       |     |   | |  0|VC|Simbad
  7044|19 40 33.78|+39 51 52.6|13.25| 0.64| 5| 0|  54.96| 0.16|  0.82| 0|34|SN |       |     |   | |  0|VC|Simbad
  7046|19 39 29.04|+40 21 48.3|13.25| 0.81| 5| 0| -19.63|15.87| 79.33| 0| 0|BLN|       |     |   | |  0|VC|Simbad
  7049|19 40 52.55|+39 48 01.9|12.13| 0.70| 5| 0| -62.08| 0.28|  1.41| 0|  |SN |       |     |   | |  0|VC|Simbad
  7050|19 43 20.10|+40 19 18.4|13.00| 1.35| 3| 0| -36.93| 0.20|  0.70| 0|  |SN |       |     |   | |  0|VC|Simbad
  7056|19 43 09.79|+40 29 27.1|12.57| 0.73| 4| 0|  -7.85| 0.50|  2.18| 0| 0|SN |       |     |   | |  0|VC|Simbad
  7057|19 42 48.20|+40 33 51.7|12.67| 0.62| 9| 0| -24.73| 0.25|  1.79| 0|  |SN |       |     |   | |  0|VC|Simbad
  8001|19 41 18.63|+40 11 35.2|15.27| 0.75| 6| 0|   2.95| 1.00|  5.59|93| 0|BLN|       |     |   | |  0|VC|Simbad
  8002|19 41 22.45|+40 12 03.4|13.00| 1.22|25|13|   3.48| 0.28|  3.21|91|14|SM |       |     |   | |  1|VC|Simbad
  8003|19 41 12.24|+40 11 33.9|13.28| 1.31| 3| 4|   1.00| 0.16|  0.66|85|99|SM |       |     |   | |  1|VC|Simbad
  8004|19 41 24.96|+40 10 45.2|14.52| 0.87| 7| 2|   1.26| 0.48|  2.81|89|99|SM |       |     |   | |  1|VC|Simbad
  8005|19 41 19.19|+40 09 32.9|14.08| 1.14| 3| 1|   0.23| 0.41|  1.44|59|98|SM |       |     |   | |  1|VC|Simbad
  8006|19 41 09.92|+40 09 31.7|14.19| 1.63| 6| 3| -31.94| 0.89|  4.85| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  8007|19 41 09.95|+40 09 05.6|14.32| 1.17|15| 2|   3.44| 0.69|  6.21|88|94|BM |   3.74| 0.10|SB1|O|  1|VC|Simbad
  8008|19 41 31.78|+40 14 14.6|14.60| 0.80| 3| 0| -21.79| 0.20|  0.71| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8009|19 41 13.98|+40 15 49.9|13.38| 0.71| 0| 4| -51.98| 0.72|  1.78| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8010|19 40 53.54|+40 10 02.4|13.98| 1.20| 3| 1|   2.84| 0.33|  1.15|94|99|SM |       |     |   | |  1|VC|Simbad
  8011|19 41 01.48|+40 07 13.8|14.23| 0.88| 4| 2| -13.24| 0.11|  0.46| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8012|19 40 52.70|+40 08 42.4|14.52| 0.80|18| 0|  -1.56| 2.42| 24.95|88|99|BM |   1.20| 0.12|SB1|O|  1|VC|Simbad
  8013|19 41 02.03|+40 06 28.1|13.13| 1.25| 3| 4|   2.56| 0.09|  0.39|94| 0|SN |       |     |   | |  1|VC|Simbad
  8014|19 41 19.30|+40 18 42.7|13.94| 0.72| 3| 1|  20.11| 0.17|  0.58| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8015|19 40 39.23|+40 12 43.1|14.19| 2.90| 5| 2|-122.75| 1.35|  6.53| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  8016|19 41 57.37|+40 14 03.2|14.21| 1.44| 4| 0|  -3.59| 0.10|  0.42| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8017|19 40 45.25|+40 17 00.9|13.93| 0.57| 7| 1| -16.74| 1.18|  6.96| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  8018|19 40 36.84|+40 15 17.3|14.12| 1.16| 1| 2|   1.93| 0.19|  0.43|93|99|SM |       |     |   | |  1|VC|Simbad
  8019|19 42 06.90|+40 12 06.9|14.26| 0.82| 4| 0|  -2.38| 0.06|  0.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8020|19 41 48.07|+40 19 45.6|13.48| 1.28| 4| 0| -38.62| 0.04|  0.18| 0| 1|SN |       |     |   | |  1|VC|Simbad
  8021|19 40 35.56|+40 05 34.9|14.18| 0.36|12| 1|   2.06| 0.16|  1.29|94|15|SM |       |     |   | |  1|VC|Simbad
  8022|19 41 24.06|+40 22 40.6|14.06| 1.25| 3| 0| -16.26| 0.33|  1.15| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8023|19 41 51.56|+40 02 40.6|13.59| 0.95| 3| 0|  -0.90| 0.24|  0.86| 6| 0|SN |       |     |   | |  1|VC|Simbad
  8024|19 42 08.32|+40 05 11.5|13.04| 0.77| 3| 0| -25.92| 0.63|  2.23| 0| 0|SN |       |     |   | |  1|VC|Simbad
  8027|19 42 27.02|+40 14 11.8|14.29| 1.34| 3| 0|   3.94| 0.38|  1.34|85| 3|SN |       |     |   | |  0|VC|Simbad
  8030|19 41 58.59|+40 24 22.3|13.42| 0.67| 9| 0|  14.63|24.40|172.51| 0| 0|BLN|       |     |   | |  0|VC|Simbad
  8031|19 42 34.54|+40 15 31.4|13.69| 1.40| 3| 0| -28.42| 1.02|  3.61| 0| 7|SN |       |     |   | |  0|VC|Simbad
  8032|19 39 55.20|+40 12 57.4|13.46| 1.26| 3| 0|  -1.70| 0.15|  0.55| 0| 4|SN |       |     |   | |  0|VC|Simbad
  8033|19 42 09.32|+40 24 33.4|13.56| 0.79| 9| 0| -43.22|10.73| 75.84| 0| 0|BLN|       |     |   | |  0|VC|Simbad
  8035|19 41 11.79|+39 54 41.0|13.91| 0.74| 8| 0|   2.92| 0.19|  1.26|94| 1|SN |       |     |   | |  0|VC|Simbad
  8036|19 41 48.58|+40 28 38.8|13.05| 1.25| 4| 0|   1.53| 0.24|  1.05|91| 9|SM |       |     |   | |  0|VC|Simbad
  8042|19 41 12.52|+39 51 10.3|12.49| 0.73| 4| 0|  10.70| 0.14|  0.62| 0|  |SN |       |     |   | |  0|VC|Simbad
  8043|19 41 53.73|+39 51 37.3|12.81| 1.44| 3| 0|  14.03| 0.20|  0.71| 0|  |SN |       |     |   | |  0|VC|Simbad
  8046|19 43 00.32|+40 22 52.6|13.25| 0.70| 4| 0| -26.19| 0.41|  1.77| 0| 0|SN |       |     |   | |  0|VC|Simbad
  8047|19 39 48.39|+39 55 46.0|12.79| 0.77|22| 0| -18.76| 6.03| 69.04| 0|19|BN | -21.90| 0.20|SB2| |  0|VC|Simbad
  8055|19 42 29.00|+39 48 13.2|12.83| 0.70| 6| 0| -30.24| 4.74| 26.50| 0|  |BLN|       |     |   | |  0|VC|Simbad
  8059|19 39 14.70|+40 28 59.1|12.34| 0.69| 6| 0|  -4.21| 0.18|  1.03| 0|  |SN |       |     |   | |  0|VC|Simbad
  9001|19 41 18.01|+40 11 19.6|15.47| 0.75|12| 0|   2.58| 1.52| 12.58|92|98|BM |   1.58| 0.19|SB1|O|  0|VC|Simbad
  9002|19 41 21.34|+40 11 57.2|13.01| 1.25| 5|11|   2.86| 0.66|  4.13|93|99|BM |   1.98| 0.12|SB1|O|  1|VC|Simbad
  9003|19 41 17.01|+40 10 34.8|13.77| 0.69| 7| 1|   2.57| 0.16|  0.93|94|99|SM |       |     |   | |  1|VC|Simbad
  9004|19 41 07.27|+40 11 53.3|14.79| 0.80| 6| 0|   0.97| 0.28|  1.57|84|99|SM |       |     |   | |  1|VC|Simbad
  9005|19 41 28.22|+40 12 54.5|14.10| 0.63| 6| 1|   0.77| 0.32|  1.72|80|99|SM |       |     |   | |  1|VC|Simbad
  9006|19 41 25.35|+40 09 17.4|14.21| 0.91| 7| 2| -59.08| 0.67|  3.94| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9007|19 41 02.46|+40 12 51.7|14.33| 0.82| 3| 1|  -2.33| 0.41|  1.43| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9008|19 41 18.96|+40 15 17.8|14.65| 0.76| 3| 0| -22.19| 0.31|  1.08| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9009|19 40 55.60|+40 11 27.2|14.51| 0.82| 4| 1|   1.76| 0.13|  0.55|93| 0|SN |       |     |   | |  1|VC|Simbad
  9010|19 40 56.01|+40 13 39.6|14.07| 1.17| 3| 2|   2.81| 0.20|  0.75|94|99|SM |       |     |   | |  1|VC|Simbad
  9011|19 41 43.16|+40 10 40.6|14.55| 0.73| 3| 0| -11.82| 0.07|  0.24| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9012|19 41 42.10|+40 15 17.7|14.56| 0.79|19| 0|   5.49| 0.63|  6.72|69| 0|BN |   4.50| 0.18|SB1| |  1|VC|Simbad
  9013|19 41 45.45|+40 08 50.8|13.37| 0.64| 6| 4|  13.30| 0.35|  1.96| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9014|19 40 46.79|+40 14 58.7|14.03| 0.81|10| 9| -28.94| 5.32| 40.10| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  9015|19 41 27.30|+40 04 54.8|14.23| 1.33| 3| 2|   0.93| 0.23|  0.84|84|81|SM |       |     |   | |  1|VC|Simbad
  9016|19 41 26.92|+40 19 12.0|14.22| 1.19|11| 0| -56.89| 1.74| 13.78| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  9017|19 41 37.83|+40 04 25.9|14.46| 1.59| 4| 0| -24.90| 0.12|  0.50| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9018|19 40 33.93|+40 14 04.1|14.12| 0.74|12| 2| -31.17| 0.46|  3.66| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9019|19 41 15.12|+40 21 08.4|13.65| 1.16| 2| 1| -17.95| 0.28|  0.75| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9020|19 40 27.45|+40 10 40.9|13.51| 1.61| 1| 2|  17.72| 0.19|  0.44| 0| 0|SN |       |     |   | |  1|VC|Simbad
  9021|19 41 46.85|+40 20 26.5|14.21| 1.01| 4| 0|   9.12| 0.12|  0.51| 0|43|SN |       |     |   | |  1|VC|Simbad
  9022|19 42 14.32|+40 13 19.4|14.16| 1.66| 4| 0|  -3.17| 0.22|  0.97| 0| 7|SN |       |     |   | |  1|VC|Simbad
  9023|19 42 00.37|+40 03 53.0|13.69| 1.83| 5| 0|  -9.15| 0.07|  0.34| 0| 4|SN |       |     |   | |  1|VC|Simbad
  9024|19 41 54.38|+40 02 09.7|13.49| 1.18|12| 0|   1.85| 0.36|  2.99|93| 5|SM |       |     |   | |  1|VC|Simbad
  9026|19 41 54.66|+40 01 28.3|13.45| 1.17|19| 0|   4.03| 0.53|  5.61|89|16|BM |   3.63| 0.12|SB1|O|  1|VC|Simbad
  9027|19 42 22.80|+40 07 38.0|14.35| 0.81| 3| 0| -46.86| 0.34|  1.21| 0| 0|SN |       |     |   | |  0|VC|Simbad
  9028|19 40 19.90|+40 03 53.9|13.25| 0.64| 4| 0|  -0.56| 0.35|  1.52|16|16|SN |       |     |   | |  0|VC|Simbad
  9030|19 41 41.57|+39 57 55.4|13.85| 0.99|36| 0| -13.41| 8.47|125.32| 0|10|BN | -12.70| 0.41|SB2| |  0|VC|Simbad
  9034|19 42 33.80|+40 03 24.6|12.98| 0.65| 4| 0|  -1.87| 0.29|  1.24| 0| 0|SN |       |     |   | |  0|VC|Simbad
  9036|19 42 20.26|+40 25 08.6|13.15| 0.57| 4| 0|   8.85| 0.77|  3.33| 0| 0|SN |       |     |   | |  0|VC|Simbad
  9039|19 42 57.25|+40 11 02.5|12.53| 0.79| 4| 0| -30.26| 0.50|  2.19| 0| 0|SN |       |     |   | |  0|VC|Simbad
  9040|19 39 41.00|+40 18 26.9|13.53| 0.60| 2| 0| -21.01| 0.29|  0.72|  | 0|   |       |     |   | |  0|VC|Simbad
  9041|19 40 26.49|+39 53 50.7|12.74| 0.80| 4| 0| -11.32| 0.22|  0.97| 0| 0|SN |       |     |   | |  0|VC|Simbad
  9050|19 39 41.66|+39 55 14.7|13.06| 0.71| 3| 0| -42.76| 1.76|  6.21| 0| 0|BLN|       |     |   | |  0|VC|Simbad
  9052|19 40 05.82|+40 33 19.6|12.50| 0.60| 4| 0| -24.68| 0.62|  2.69| 0|  |SN |       |     |   | |  0|VC|Simbad
 10002|19 41 13.55|+40 12 20.6|13.04| 1.24| 1| 4|   2.37| 0.23|  0.70|94|97|SM |       |     |   | |  1|VC|Simbad
 10004|19 41 11.79|+40 10 23.9|14.81| 0.82| 3| 0|   2.74| 0.10|  0.34|94|93|SM |       |     |   | |  1|VC|Simbad
 10005|19 41 06.63|+40 10 30.4|14.25| 0.52| 5| 2|   3.30| 0.29|  1.40|92| 2|SN |       |     |   | |  1|VC|Simbad
 10006|19 41 21.21|+40 09 22.8|14.37| 0.44|13| 2|   4.20| 0.24|  1.98|79|97|SM |       |     |   | |  1|VC|Simbad
 10007|19 41 10.48|+40 08 45.1|14.36| 1.28| 1| 2| -56.78| 0.38|  0.87| 0| 0|SN |       |     |   | |  1|VC|Simbad
 10008|19 41 00.30|+40 09 47.5|14.69| 0.88| 3| 0| -69.74| 0.16|  0.57| 0| 0|SN |       |     |   | |  1|VC|Simbad
 10009|19 41 30.13|+40 15 23.8|14.58| 0.84|10| 0| -20.74| 1.99| 14.91| 0| 0|BLN|       |     |   | |  1|VC|Simbad
 10010|19 41 01.59|+40 15 27.0|14.20| 0.73| 6| 2|   1.73| 0.42|  2.26|92|96|SM |       |     |   | |  1|VC|Simbad
 10011|19 41 14.76|+40 17 01.5|14.78| 0.81| 3| 0|  12.99| 0.16|  0.58| 0|99|SN |       |     |   | |  1|VC|Simbad
 10012|19 41 41.75|+40 15 23.9|14.56| 0.63| 4| 0|   5.17| 0.32|  1.37|32| 9|SN |       |     |   | |  1|VC|Simbad
 10013|19 41 48.26|+40 10 32.3|13.38| 0.79|30| 0|  -7.86| 5.71| 76.91| 0| 0|BN | -11.70| 0.27|SB1| |  1|VC|Simbad
 10014|19 40 58.93|+40 06 12.9|14.11| 0.74| 2| 1|  14.45| 0.25|  0.68| 0| 0|SN |       |     |   | |  1|VC|Simbad
